No. De Iteración,ID Aprendíz,No. De Elementos,Costo de la ruta,Promedio,Valor de la Píldora,Posición
Iteración No. 2,Aprendiz 1,36,66,99.11428571,7,4
Iteración No. 2,Aprendiz 1,36,66,99.11428571,6,5
Iteración No. 2,Aprendiz 1,36,66,99.11428571,3,6
Iteración No. 2,Aprendiz 1,36,66,99.11428571,9,7
Iteración No. 2,Aprendiz 1,36,66,99.11428571,10,8
Iteración No. 2,Aprendiz 1,36,66,99.11428571,5,9
Iteración No. 2,Aprendiz 1,36,66,99.11428571,2,10
Iteración No. 2,Aprendiz 1,36,66,99.11428571,4,11
Iteración No. 2,Aprendiz 1,36,66,99.11428571,11,12
Iteración No. 2,Aprendiz 1,36,66,99.11428571,22,13
Iteración No. 2,Aprendiz 1,36,66,99.11428571,21,14
Iteración No. 2,Aprendiz 1,36,66,99.11428571,23,15
Iteración No. 2,Aprendiz 1,36,66,99.11428571,19,16
Iteración No. 2,Aprendiz 1,36,66,99.11428571,16,17
Iteración No. 2,Aprendiz 1,36,66,99.11428571,13,18
Iteración No. 2,Aprendiz 1,36,66,99.11428571,14,19
Iteración No. 2,Aprendiz 1,36,66,99.11428571,24,20
Iteración No. 2,Aprendiz 1,36,66,99.11428571,15,21
Iteración No. 2,Aprendiz 1,36,66,99.11428571,17,22
Iteración No. 2,Aprendiz 1,36,66,99.11428571,20,23
Iteración No. 2,Aprendiz 1,36,66,99.11428571,18,24
Iteración No. 2,Aprendiz 1,36,66,99.11428571,31,25
Iteración No. 2,Aprendiz 1,36,66,99.11428571,34,26
Iteración No. 2,Aprendiz 1,36,66,99.11428571,30,27
Iteración No. 2,Aprendiz 1,36,66,99.11428571,25,28
Iteración No. 2,Aprendiz 1,36,66,99.11428571,28,29
Iteración No. 2,Aprendiz 1,36,66,99.11428571,26,30
Iteración No. 2,Aprendiz 1,36,66,99.11428571,36,31
Iteración No. 2,Aprendiz 1,36,66,99.11428571,29,32
Iteración No. 2,Aprendiz 1,36,66,99.11428571,27,33
Iteración No. 2,Aprendiz 1,36,66,99.11428571,32,34
Iteración No. 2,Aprendiz 1,36,66,99.11428571,35,35
Iteración No. 2,Aprendiz 1,36,66,99.11428571,33,36
,,,,,,
Iteración No. 2,Aprendiz 2,36,132,97.22857143,1,1
Iteración No. 2,Aprendiz 2,36,132,97.22857143,5,2
Iteración No. 2,Aprendiz 2,36,132,97.22857143,11,3
Iteración No. 2,Aprendiz 2,36,132,97.22857143,7,4
Iteración No. 2,Aprendiz 2,36,132,97.22857143,6,5
Iteración No. 2,Aprendiz 2,36,132,97.22857143,9,6
Iteración No. 2,Aprendiz 2,36,132,97.22857143,4,7
Iteración No. 2,Aprendiz 2,36,132,97.22857143,3,8
Iteración No. 2,Aprendiz 2,36,132,97.22857143,10,9
Iteración No. 2,Aprendiz 2,36,132,97.22857143,2,10
Iteración No. 2,Aprendiz 2,36,132,97.22857143,8,11
Iteración No. 2,Aprendiz 2,36,132,97.22857143,12,12
Iteración No. 2,Aprendiz 2,36,132,97.22857143,14,13
Iteración No. 2,Aprendiz 2,36,132,97.22857143,18,14
Iteración No. 2,Aprendiz 2,36,132,97.22857143,23,15
Iteración No. 2,Aprendiz 2,36,132,97.22857143,22,16
Iteración No. 2,Aprendiz 2,36,132,97.22857143,13,17
Iteración No. 2,Aprendiz 2,36,132,97.22857143,20,18
Iteración No. 2,Aprendiz 2,36,132,97.22857143,17,19
Iteración No. 2,Aprendiz 2,36,132,97.22857143,19,20
Iteración No. 2,Aprendiz 2,36,132,97.22857143,15,21
Iteración No. 2,Aprendiz 2,36,132,97.22857143,24,22
Iteración No. 2,Aprendiz 2,36,132,97.22857143,16,23
Iteración No. 2,Aprendiz 2,36,132,97.22857143,21,24
Iteración No. 2,Aprendiz 2,36,132,97.22857143,27,25
Iteración No. 2,Aprendiz 2,36,132,97.22857143,28,26
Iteración No. 2,Aprendiz 2,36,132,97.22857143,29,27
Iteración No. 2,Aprendiz 2,36,132,97.22857143,33,28
Iteración No. 2,Aprendiz 2,36,132,97.22857143,25,29
Iteración No. 2,Aprendiz 2,36,132,97.22857143,26,30
Iteración No. 2,Aprendiz 2,36,132,97.22857143,30,31
Iteración No. 2,Aprendiz 2,36,132,97.22857143,31,32
Iteración No. 2,Aprendiz 2,36,132,97.22857143,32,33
Iteración No. 2,Aprendiz 2,36,132,97.22857143,35,34
Iteración No. 2,Aprendiz 2,36,132,97.22857143,34,35
Iteración No. 2,Aprendiz 2,36,132,97.22857143,36,36
,,,,,,
Iteración No. 2,Aprendiz 3,36,200,95.28571429,1,1
Iteración No. 2,Aprendiz 3,36,200,95.28571429,5,2
Iteración No. 2,Aprendiz 3,36,200,95.28571429,3,3
Iteración No. 2,Aprendiz 3,36,200,95.28571429,8,4
Iteración No. 2,Aprendiz 3,36,200,95.28571429,2,5
